"utterance"	"word"	"annotation"	"source"	"secondary"	"sentence"	"type"	"ar"	"bg"	"bs"	"cs"	"da"	"de"	"el"	"en"	"es"	"et"	"fi"	"fr"	"he"	"hr"	"hu"	"id"	"it"	"ja"	"nl"	"no"	"pl"	"pt"	"ro"	"ru"	"sl"	"sr"	"sv"	"tr"	"vi"	"zh"
16817	2	"DN"	"autoDN"		"there was never any magic . only conjuring tricks ."	"time"	"لم"	"не"	"nikada"		"aldrig"	"nie"	"ποτέ"	"never"	"nunca"		"ei"		".מעולם לא"	"nikada nije"	"nem"	"pernah"	"mai"	"な"	"nooit"	"aldri"	"nie"	"nunca"		"не"	"nikoli"	"nikada nije"	"aldrig"	"hiç"	"không"	
16961	1	"DN"	"autoDN"		"you never did like your office , did you ?"	"time"	"لم"	"никога"	"nikada"	"nikdy"	"aldrig"	"nie"	"δεν"	"never"	"nunca"		"ikinä"	"jamais"	"מעולם לא"	"ne"	"sose"	"tak pernah"		"ず"	"haatte"	"aldri"	"nigdy nie"	"nunca"	"niciodată nu"	"никогда не"	"nikoli"	"nikada"	"aldrig"	"hiç"	"không bao giờ"	"一向 都 不"
17117	3	"DN"	"autoDN"		"khal drogo has never been defeated ."	"time"	"لم"	"никога"	"nikad"		"aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"iial"		"jamais"	"מעולם לא"	"nikad"	"sosem"	"pernah"	"mai"	"度"	"nooit"	"aldri"	"dotąd nie"	"nunca"		"никогда не"		"никад"	"aldrig"	"hiç"		"从 未"
17123	10	"DN"	"autoDN"		"when will they be married ? soon . the dothraki never stay still for long ."	"time"		"не"	"nikada"		"ikke"	"nie"	"δε"	"never"	"no"		"eivät"	"ne"	"לא"	"ne"	"nem"	"pernah"		"事"	"niet"	"aldri"	"nigdy nie"	"nunca"	"niciodata nu"		"nikoli ni"	"не"	"aldrig"	"asla"	"không bao giờ"	"不"
17614	33	"DN"	"autoDN"		"so that means it was either something worthless ... or priceless . did he ever talk to you about it ? i mean , you were his closest friend . no , he never did ."	"time"	"أبداً"	"никога"	"nikada"		"ikke"	"nie"	"ποτέ"	"never"	"nunca"	"kunagi"	"ei"		"מעולם"	"nikada"	"sosem"	"tidak pernah"		"無"	"ooit"	"ikke"	"nigdy"	"nunca"	"niciodată"	"никогда"	"-nikoli"	"nikada"	"inte"	"hiç"	"chưa từng"	"没"
17794	6	"DN"	"autoDN"		"those outlaws you love so much never told you ? the whole countryside is yapping about it ."	"time"	".لم"	"не"	"nisu"	"nikdy"	"aldrig"	"nicht"	"δε"	"never"	"¿nunca"	"ei"		"ne"	"מעולם לא"	"nikad"	"nem"	"tak pernah"	"non"	"な かっ"	"nooit"		"nie"		"nu"	"не"	"niso"	"nisu"	"inte"	"hiçbir"	"không"	
17847	1	"DN"	"autoDN"		"i never believed , but when you see the truth , when it 's right there in front of you as real as these iron bars , how can you deny her god is real ?"	"time"	".لم"	"никога"	"nikada"	"nikdy"	"ikke"	"nie"	"ποτέ"	"never"	"nunca"	"varem ei"	"uskonut"	"n'ai jamais"		"nikad nisam"	"sosem"	"tak pernah"			"nooit"		"nigdy nie"	"nunca"		"не"	"nikoli nisem"	"nikada nisam"	"aldrig"	"hiç"	"chưa bao giờ"	"不"
17885	2	"DN"	"autoDN"		"i 've never seen anything like any of this . not in my life . it 's shocking , is n't it , the first time you encounter real wealth ?"	"time"	".لم"	"никога"	"-nikada"	"nikdy"	"aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"kunagi"		"jamais"		"nikad"		"pernah"	"mai"	"こと"	"nooit"	"aldri"		"nunca"	"mai"	"никогда"	"nisem"	"nikada nisam"	"aldrig"	"hiçbir"	"chưa từng"	
17958	3	"DN"	"autoDN"		"what if i never want you to ?"	"time"	"لم"	"никога"	"nikada"	"nikdy"	"aldrig"	"niemals"	"ποτέ"	"never"	"nunca"	"ei hakkagi"	"koskaan"		"לעולם לא"	"nikada"	"soha nem"	"tak pernah"			"nooit"	"aldri"		"nunca"	"niciodată"	"никогда не"	"nikoli ne"	"nikada"	"aldrig"	"hiç"	"không bao giờ"	"永远 都 不 愿意呢"
18406	3	"DN"	"autoDN"		"most importantly ... never go beyond those walls ."	"time"	"أبداً"	"никога"	"nikada"	"nikdy"	"aldrig"	"nie"	"ποτέ"	"never"	"jamás"	"kunagi"	"älä ikinä"		".לעולם"	"nikada"	"soha nem"	"jangan"			"nooit"	"aldri"	"nigdy nie"	"nunca"	"nu"	"никогда не"	"nikoli ne"	"nikada"	"aldrig"	"asla"	"không bao giờ"	
19089	16	"DN"	"autoDN"		"she wanted to get pregnant , you assaulted her . i hit her ? no , never happened . - `` pushed , '' it says `` pushed . '' - absolutely not . i never touched her ."	"time"	"لم"	"никога"	"nikada"	"nikdy"	"aldrig"		"ποτέ"	"never"	"jamás"	"iialgi"	"koskaan"	"jamais"	"בחיים לא"	"nikada"	"soha"	"tak pernah"	"mai"	"な"	"nooit"	"ikke"	"nigdy"	"nunca"			"nikoli"		"inte"	"asla"	"chưa từng"	"从来"
19923	3				"come here . never leave us again , papa . never . i will always watch over yöu ."	"time"	"أبدا"	"никога"	"nikada"	"nikdy"	"aldrig"	"nie"	"ποτέ"	"never"	"jamás"	"ei iial"	"ikinä"	"jamais"	"לעולם"	"nikad"	"soha"	"takkan pernah"	"mai"		"nooit"	"aldri"	"obiecuję"	"nunca"	"niciodată"	"hикoгдa"	"nikoli"	"nikad"	"aldrig"	"asla"	"không bao giờ"	"再也 不"
20002	2	"DN"	"autoDN"		"the turks never conquered the capitals of europe ."	"time"	"أبدا"	"не"	"nikad"	"nikdy"	"aldrig"	"nie"	"δεν"	"never"	"nunca"		"eivät"		"לא"	"nikada"	"nem"	"tak pernah"		"な かっ"	"nooit"	"aldri"	"nigdy nie"	"nunca"		"не"	"nikoli niso"	"nikad nisu"	"aldrig"	"hiç"	"không bao giờ"	
20161	1	"DN"	"autoDN"		"i never met my grandfather . he died when i was just a baby . but when i hear about him and hachi , i feel like i know him ."	"time"	"،لم"	"не"	"nikad"	"nikdy"	"aldrig"	"nie"	"ποτέ"	"never"	"no"		"koskaan"	"n'ai jamais"	"לא"	"nisam"	"nem"	"tidak"		"かっ"	"nooit"	"aldri"	"nie"	"nunca"	"nu"	"не"	"nisem"	"nikad nisam"	"aldrig"	"hiç"	"không"	"没"
20335	1	"DN"	"autoDN"		"she never left ."	"time"	"لم"	"никога"	"ni"	"nikdy"	"aldrig"	"nie"	"δεν"	"never"	"nunca"	"pole"	"ei koskaan"	"jamais"	"מעולם לא"	"nije"	"nem"	"tidak pernah"	"mai"		"nooit"	"aldri"		"nunca"		"не"	"-nikoli ni"	"< <"	"aldrig"	"hiç"	"chưa"	"没"
20353	12	"DN"	"autoDN"		"did you ever meet a patient named andrew laeddis ? no . never heard of him ."	"time"	"لم"	"не"	"nisam"	"nikdy"	"aldrig"	"nie"	"δεν"	"never"	"nunca"		"en ole"	"jamais"	"מעולם לא"	"nikad"	"sosem"	"pernah"		"こと"	"nooit"	"aldri"		"nunca"	"n-am"			"nisam"	"inte"	"hiç"	"chưa từng"	"过"
20413	7	"DN"	"autoDN"		"did you kill your children ? i never had children . i was never married . and before i was a patient in ashecliff , i worked here . you were a nurse ?"	"time"	"لم"	"никога"	"ni"	"nikdy"	"aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"pole"	"ei"	"n'ai jamais"	"מעולם לא"	"nikad nisam"	"sohasem"	"tidak pernah"		"な"	"nooit"	"aldri"	"nigdy nie"	"nunca"	"nu"	"никогда не"	"nikoli nisem"	"ni"		"hiç"	"không"	"我没"
20413	7	"DN"	"autoDN"		"did you kill your children ? i never had children . i was never married . and before i was a patient in ashecliff , i worked here . you were a nurse ?"	"time"	"أبداً"	"не"	"ni"	"nikdy"	"aldrig"	"nie"		"never"	"nunca"	"pole"	"koskaan"	"n'ai jamais"	"מעולם לא"	"nikad"	"sohasem"	"pernah"	"mai"		"nooit"	"aldri"	"nie"	"nunca"	"niciodată"	"никогда не"	"nikoli"	"ni"	"aldrig"	"hiç"	"chưa từng"	"我没"
20660	32	"DN"	"autoDN"		"- his hands were burned . he said it happened trying to pull off the cloak that killed my father , i 've gone over and over at my mind , he never touched the cloak , he must 've handled it before . it was nizam who poisoned it ."	"time"	"لم"	"не"	"ni"		"aldrig"	"nicht"	"δεν"	"never"	"jamás"	"ei"			"לא"	"ni"		"tak"		"な"	"niet"	"aldri"	"nie"	"nunca"	"nici nu"	"не"	"sploh ni"	"ni"	"inte"	"hiç"	"không"	"⊿"
20776	2				"it will never be you . you 'll never been king , you do n't have the heart . you will die in a shadow of a great man ."	"time"		"никога"	"nikad"	"nikdy"	"aldrig"	"niemals"	"ποτέ"	"never"	"jamás"	"pole kunagi"	"ei tule"		".לעולם לא"	"nikad nećeš"		"takkan pernah"			"nooit"	"aldri"	"nie"	"nunca"	"niciodată nu"	"не"	"nikoli ne"	"nikad"	"aldrig"	"asla"	"không bao"	"ぃ"
20841	36	"DN"	"autoDN"		"this was a thriving village . young shen was in line to rule gongmen city . but he wanted more . i foretold that someone would stand in his way . a panda . but i never could have foretold what came next ."	"time"	"لم"	"не"			"aldrig"	"niemals"	"ποτέ"	"never"	"nunca"	"poleks iial"	"osannut"	"n'aurais jamais"	"לא"	"nisam"		"tidak pernah"			"nooit"	"aldri"	"nie"	"nunca"	"n-aş"	"не"	"nisem"	"nisam"	"aldrig"	"hiçbir"	"không"	"预"
20950	11	"DN"	"autoDN"		"i do n't remember . he just ... he was just never there ."	"time"		"никога"	"nikad"		"aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"kunagi"	"koskaan"	"jamais"	".אף פעם לא"	"nikad"	"nem"	"tak pernah"		"な"	"nooit"	"aldri"	"nigdy"	"nunca"	"niciodată"	"не"	"nikoli"	"nikad"	"aldrig"		"không bao giờ"	"瞷筁"
21151	11	"DN"	"autoDN"		"so , where to now ? i do n't know . never been to madrid ."	"time"	"لم"	"не"	"nikad"		"aldrig"	"nie"	"δεν"	"never"	"no"	"kunagi"	"en"	"jamais"	".אף פעם לא"	"nikad nisam"	"nem"	"pernah"			"niet"	"aldri"	"nigdy nie"	"nunca"		"никогда не"	"nisem"	"nikad nisam"	"aldrig"	"hiç"	"chưa bao"	"⊿"
21437	21	"DN"	"autoDN"		"candie : i 'm gon na have to excuse mr. stonesipher 's slack jawed gaze , he ... he ai n't never seen a nigger like you ever in his life . ai n't that right , mr. stonesipher ?"	"time"	"لم"	"никога"	"nikada"			"nie"		"never"	"nunca"	"pole"	"ole"	"jamais"	"לא"	"nikada"	"soha"	"pernah"	"mai"	"な"		"aldri"	"nie"	"nunca"	"mai"	"не"	"ni"	"nikada"	"aldrig"		"từng"	"从没"
21994	6	"DN"	"autoDN"		"i telecommuted to work . i never really ... ♪ chills run up and down my spine ... ♪ aladdin 's lamp is mine ♪ ♪ the dream i dreamed ... ♪"	"time"	"لم"	"никога"	"nikad"		"aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"ei"	"koskaan"	"n'ai jamais"	"מעולם לא"	"nikad"	"sosem"	"tidak pernah"			"nooit"	"aldri"	"nigdy"	"nunca"	"niciodată n-am"	"никогда"	"nikoli nisem"	"nikad nisam"	"aldrig"	"olmadı"	"chưa từng"	"我从"
22077	1	"DN"	"autoDN"		"i never put all my chips on that number , though because i was playing something even riskier . there was an idea , stark knows this , called the avengers initiative ."	"time"	"،لم"	"не"	"nikada"		"aldrig"	"nie"		"never"	"no"	"ei"	"koskaan"	"n'ai pas"	"מעולם לא"	"nikad"	"nem"	"tak pernah"		"な"	"niet"	"ikke"	"nie"	"nunca"	"nu"	"никогда не"	"nisem"	"nikada nisam"	"inte"		"chưa từng"	
22197	2	"DN"	"autoDN"		"but we never forget ... ( small fallon sniffing ) ... a smell ."	"time"	"لم"	"никога"	"nikada"	"nikdy"	"aldrig"	"niemals"	"ποτέ"	"never"	"nunca"	"pole"	"koskaan"	"jamais"	"לעולם לא"	"nikad"	"soha"	"takkan pernah"			"nooit"	"aldri"	"nigdy"	"nunca"		"никогда не"	"nismo"	"nikada"	"aldrig"	"asla"	"không bao giờ"	"永远 不"
22206	3	"DN"	"autoDN"		"such words have never passed my lips , sire . i 'm not asking what you said . i 'm asking what you believe ."	"time"	"لم"	"не"	"nikad"	"nikdy"	"aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"pole"		"jamais"	"מעולם"	"nikad"	"nem"	"pernah"	"mai"	"事"	"nooit"	"ikke"	"nie"	"nunca"	"n-au"	"не"	"nisem"	"nikada nisu"	"aldrig"		"chưa bao giờ"	"我从 没"
22801	8	"DN"	"autoDN"		"it 's just an old toy . we never find anything good . listen . jeez !"	"time"	"لن"	"никога"	"nikada"	"nikdy"	"aldrig"	"nie"		"never"	"nunca"		"ikinä"	"jamais"	"לא"	"nikada"	"sosem"	"tak pernah"			"nooit"	"aldri"	"nigdy nie"	"nunca"	"niciodată nu"	"никогда не"	"nikoli ne"	"никада"	"aldrig"	"hiç"	"chẳng bao giờ"	"從"
22884	2	"DN"	"autoDN"		"they could never have imagined it , those pioneers who invented the automobile , that it would possess us like this , in our imaginations , our dreams . nursie , men love women , but even more than that , men love cars !"	"time"	"لم"		"nikad"	"vůbec"	"aldrig"		"ποτέ"	"never"	"nunca"	"iial"	"eivät"	"jamais"	"לעולם לא"	"ni"	"sem"	"tidak"	"non"	"な"	"nooit"	"ikke"	"nie"	"nunca"	"niciodatã nu"	"не"	"nikoli"	"nikad"	"aldrig"	"asla"	"không bao giờ"	"不"
22959	2	"DN"	"autoDN"		"you 'll never win the championship with jacky ickx . you just might with james . grande premio do brazil interlagos january 1976"	"time"	"أبداً"	"няма"	"nikad"	"nikdy"	"ikke"	"nie"	"ποτέ"	"never"	"nunca"		"ei ole"		"לעולם לא"	"nikad nećeš"	"sohasem"			"な"	"nooit"	"aldri"	"nie"	"nunca"		"никогда не"	"nikoli"	"nikad"	"aldrig"	"asla"	"không bao giờ"	"永遠 不"
23101	17	"DN"	"autoDN"		"in her ... he had the perfect warrior protégée ... that his son , xerxes , would never be ."	"time"	"أبداً"	"никога"	"nikada"	"nikdy"	"aldrig"	"niemals"	"ποτέ"	"never"	"jamás"	"eales ei"	"ei koskaan"	"ne"	"לעולם לא"	"nikada"	"sosem"	"pernah"		"は"	"nooit"	"aldri"		"nunca"		"не"	"nikoli ne"	"nikada"	"aldrig"	"asla"	"bao giờ"	"永远"
23287	2	"DN"	"autoDN"		"we will never be able to reach her . i will reach her ... and put an end to this ."	"time"		"никога"	"nikada"	"nikdy"	"aldrig"	"niemals"	"δεν"	"never"	"jamás"		"pääse"	"ne"	"לעולם לא"	"nikada"		"tak"		"な"	"nooit"	"ikke"	"nie"	"nunca"	"nu"	"не"		"nikada"	"aldrig"	"asla"	"chẳng bao giờ"	"永远无"
23385	10	"DN"	"autoDN"		"i thought you said you were a pilot . i never said pilot ."	"time"	"أبداً"	"не"	"nikada"	"nikdy"	"aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"ei"	"en"	"pas"	"אף פעם לא"	"-nikada nisam"	"sosem"	"tak pernah"		"な"	"nooit"	"aldri"		"nunca"	"n-am"		"nisem"	"никада нисам"	"aldrig"	"hiç"	"chưa bao giờ"	"我没"
24746	0	"DN"	"autoDN"		"never send a monkey to do a bird 's job ."	"time"	"أبداً"	"никога"	"nikad"		"aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"ei"			"לעולם"	"nikad"	"soha"	"jangan pernah"	"mai"	"な かっ"	"nooit"	"aldri"	"nigdy nie"	"nunca"		"никогда"	"nikoli ne"	"nikad"	"aldrig"	"asla"	"không bao giờ"	"不"
24779	13	"DN"	"autoDN"		"i do n't know how i got up here , but i 'm never coming down !"	"time"	"لن"	"никога"	"nikada"		"aldrig"	"nie"	"ποτέ"	"never"	"no"		"en"	"pas"	"בחיים לא"	"nikada"	"nem"	"tidak pernah"	"intenzione"	"な"	"niet"	"aldri"	"nigdy"	"nunca"		"не"		"nikada"	"aldrig"	"niyetim"	"không bao giờ"	"坚决 不"
24920	1	"DN"	"autoDN"		"he never wanted you to be a kingsguard , but here you are , protecting his dead body ."	"time"	"لم"	"никога"	"nije"		"ikke"	"nie"	"ποτέ"	"never"	"nunca"	"ei"	"ei"	"jamais"	"אף פעם לא"	"nikad nije"	"sosem"	"tidak pernah"		"な かっ"	"niet"	"ikke"	"nie"	"nunca"		"не"	"ni"	"nije"	"inte"	"hiç"	"không bao giờ"	
24966	8	"DN"	"autoDN"		"you 're not cold , my lady ? never . the lord 's fire lives within me , jon snow ."	"time"		"никога"	"-nikada"		"-aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"ei iial"	"koskaan"	"jamais"	"מעולם לא"	"-nikada"	"sohasem"	"tidak pernah"	"mai"	"な"	"nooit"	"aldri"	"nigdy"	"nunca"	"niciodată"	"никогда"	"-nikoli"	"-nikad"	"aldrig"		"không bao giờ"	"从 不"
25133	7	"DN"	"autoDN"		"my mother tells me a king should never strike his lady . ser meryn ."	"time"	"ألا"	"не"	"nikad"		"aldrig"	"nicht"	"δεν"	"never"	"nunca"	"ei"	"ettei"			"nikada"	"nem"	"tidak"			"niet"	"aldri"	"nie"	"nunca"	"nu"	"никогда не"	"ne"	"никада"	"aldrig"	"asla"	"không bao giờ"	"不"
25307	22	"DN"	"autoDN"		"all i know is the child is my warrant ... and if he is not the word of god , then god never spoke ."	"time"	"أبداً"	"никога"	"nikad"	"nikdy"	"aldrig"	"nie"	"δε"	"never"	"nunca"				"אף פעם לא"	"nikad nije"	"sosem"	"tidak pernah"		"な"	"nooit"	"aldri"	"nigdy nie"	"nunca"		"всегда"	"nikoli ni"	"nije nikada ni"	"aldrig"	"hiç"	"chưa"	"从 不"
25331	7	"DN"	"autoDN"		"i think you 're chickenshit . you never killed a man in your life ."	"time"	"لم"	"никога"	"nikad"	"nikoho"	"aldrig"	"nie"	"ποτέ"	"never"	"no"	"pole kunagi"	"ole ikinä"	"jamais"	".מעולם לא"	"nikad"	"soha nem"	"belum pernah"		"事 な"	"nooit"	"ikke"	"nigdy nikogo nie"	"nunca"			"nikoli"		"inte"	"hiç"	"chưa bao"	"没"
25480	1	"DN"	"autoDN"		"i never thought i 'd see a child again . never thought that would ... happen to me ."	"time"	"لم"	"не"	"nikada"	"nikdy"	"aldrig"		"δεν"	"never"	"nunca"	"ei"	"uskonut"		"שלעולם לא"	"nikada"	"nem"	"tak"				"aldri"	"nie"	"nunca"	"nu"	"не"	"nisem"	"nikada"	"aldrig"	"hiç"	"không bao giờ"	"想到"
25629	2	"DN"	"autoDN"		"i 've never played with these . the music does n't come from your fingers , michael , it comes from your mind ."	"time"	"لم"	"никога"	"nikada"	"nikdy"	"aldrig"	"nie"	"ποτέ"	"never"	"nunca"	"pole"	"ole"	"jamais"	"לא"	"nikada nisam"	"soha sem"	"tak pernah"	"mai"		"nooit"	"aldri"		"nunca"	"mai"	"смогу"	"nisem"	"никада нисам"	"aldrig"	"hiç"	"chưa bao giờ"	"我没"
25920	9	"DN"	"autoDN"		"you grew up hearing about it , but i never figured i 'd be going there"	"time"	"لم"	"не"	"nikad"	"nikdy"	"havde"	"nie"	"δεν"	"never"	"nunca"	"poleks kunagi"	"uskonut"	"pas"	"מעולם לא"	"nikad"	"sose"	"tak pernah"		"まさか"	"nooit"	"trodde aldri"	"nie"	"nunca"	"nu"	"не"	"nisem"	"nikad nisam"	"inte"	"hiç"	"chưa bao giờ"	"从"
26148	0	"DN"	"autoDN"		"never come back !"	"time"	"أبدا"	"не"	"nikad"	"nikdy"	"aldrig"	"nie"	"μην"	"never"	"¡nunca"	"kunagi"	"älä koskaan"		"לעולם"	"nikad"	"soha"	"jangan pernah"		"な"	"nooit"	"aldri"	"nigdy nie"	"nunca"		"ќикогда не"		"nikada"	"aldrig"	"asla"	"đừng bao giờ"	"永远 不要"
22274	0	"QU"	"agreement"	"Q2"	"anyone ? anybody ?"	"body"			"ko"		"nogen"	"jemand"	"λαμβάνει"	"anyone"	"¿alguien"	"keegi"	"joku"	"quelqu'un"	"מישהו"	"bilo tko"	"valaki"	"ada"	"nessuno"	"誰"	"iemand"	"helst"	"kto"	"alguém"	"cineva"	"кто-нибудь"	"kdorkoli"	"било ко"	"nån"			"有人"
409	0	"QU"	"agreement"		"anyone here been in the army ? yes . i served with you at vindobona ."	"body"	"شخص"	"някой"	"neko"		"nogen"	"jemand"	"κανείς"	"anyone"	"¿alguno"	"keegi"	"onko kukaan"	"quelqu'un"	"מישהו"	"neko"		"ada"	"qualcuno"	"誰 も"	"iemand"	"noen"	"ktoś"	"alguém"	"cineva"	"ктo-нибудь"	"kdo"	"neko"	"nån"	"aranızda"	"-có ai"	"有谁"
11033	0	"FC"	"agreement"		"anyone can stand in front of a target . it does n't prove anything . then it should be easy for you to take his place ."	"body"	"أىّ"	"всеки"	"svatko"	"terčem"	"alle"		"καθένας"	"anyone"	"cualquiera"	"igaüks"	"maalin"		".כל אחד"	"svatko"	"bárki"	"siapapun"	"chiunque"	"誰"	"wie"		"każdy"	"qualquer"	"oricine"	"любой"	"vsak"	"svako"		"herhangi"	"ai"	"谁都"
736	15	"UF"	"disagreement"		"they are already starting to panic . of course they are . they think that someone is taking their money . all of those nickel and dimes they saved . useful idiots , as lyman would say . prep the video package ."	"body"		"някой"	"netko"	"někdo"	"nogen"	"jemand"	"κάποιος"	"someone"	"alguien"	"keegi"			"שמישהו"	"netko"	"valaki"	"ada"	"qualcuno"		"iemand"	"noen"	"ktoś"	"alguém"	"cineva"	"кто-то"	"nekdo"	"neko"	"någon"		"ai"	"有人"
830	0	"SP"	"agreement"		"someone has stolen three of my tarts !"	"body"	"أحد"	"някой"	"netko"	"někdo"	"nogen"	"jemand"	"κάποιος"	"someone"	"¡alguien"	"keegi"	"joku"	"on"	"מישהו"	"netko"	"valaki"	"seseorang"	"qualcuno"	"誰"	"iemand"	"noen"	"ktoś"	"alguém"	"cineva"		"nekdo"	"neko"	"någon"	"birisi"	"kẻ"	"有人"
917	12	"SP"	"agreement"		"- feel better ? - much , thank you . there 's someone here who would like to speak with you ."	"body"	"شخص"	"някой"	"netko"	"někdo"	"en"	"jemand"	"κάποιος"	"someone"	"alguien"	"keegi"	"joku"	"quelqu'un"	"מישהו"	"netko"	"valaki"	"seseorang"	"qualcuno"	"人"	"iemand"	"noen"	"ktoś"	"alguém"	"cineva"		"nekdo"	"neko"	"någon"	"biri"	"người"	"有人"
1025	1	"QU"	"error"		"can someone please just tell me ... what the fuck is going on here ?"	"body"	"أحدً"	"някой"	"neko"		"nogen"	"jemand"	"κάποιος"	"someone"	"alguien"	"keegi"	"joku"	"quelqu'un"	"מישהו"	"netko"	"valaki"	"ada"	"qualcuno"	"誰"	"iemand"	"noen"	"ktoś"	"alguém"	"cineva"		"kdo"	"neko"	"nån"	"birileri"	"ai"	"有谁"
1081	0	"SP"	"disagreement"		"someone put us on this rock , there 's got ta be a way off it ."	"body"	".شخصٌ"	"някой"	"neko"	"někdo"	"nogen"	"jemand"	"κάπως"	"someone"	"alguien"	"keegi"	"joku"	"quelqu'un"	"מישהו"	"netko"	"valaki"	"seseorang"	"qualcuno"		"iemand"	"noen"	"ktoś"	"alguém"	"cineva"	"кто-то"	"nekdo"	"neko"	"nån"	"birileri"	"ai"	"有人"
1277	4	"UF"	"disagreement"		"i 'm looking for someone who does high-end ids . passports , social security cards . get out of here ."	"body"	"شخص"	"някой"	"nekoga"	"někoho"	"nogen"	"brauche"	"κάποιον"	"someone"		"kedagi"	"jotakuta"	"quelqu'un"	"מישהו"	"nekoga"	"valakit"	"orang"	"qualcuno"	"奴"	"iemand"	"noen"	"kogoś"	"alguém"	"cineva"	"человека"	"koga"	"некога"	"nån"	"birini"	"ai"	
1621	0	"QU"	"agreement"	"Q2"	"anyone ? - anyone ."	"body"	"أحد؟"	"никой"	"nikome"	"nikomu"	"nogen"	"niemand"	"κανέναν"	"anyone"	"nadie"	"kellelegi"	"kenellekään"	"personne"	"לאף"	"nikome"	"senkinek"	"seorangpun"	"nessuno"		"niemand"	"noen"	"nikomu"		"nimănui"	"никому"	"nikomur"	"nikome"	"någon"	"kimseye"	"ai"	"谁都"
1621	0	"QU"	"agreement"	"Q2"	"anyone ? - anyone ."	"body"	"أحد"	"никой"	"nikome"		"ingen"	"niemand"	"κανέναν"	"anyone"	"nadie"	"kellelegi"	"kenellekään"	"personne"	"אחד .לאף אחד-"	"-nikome"	"senkinek"	"seorangpun"	"nessuno"		"niemand"	"ingen"	"nikomu"	"ninguém"	"nimănui"	"никому"	"nikomur"	"-nikome"	"ingen"	"hickimseye"	"ai"	
4565	7	"SP"	"agreement"		"they said there was an accident and someone fell off the train . actually , it was me ."	"body"		"някой"	"neko"	"někdo"	"nogen"	"jemand"	"κάποιος"	"someone"	"alguien"	"keegi"	"joku"			"netko"	"valaki"	"seseorang"	"qualcuno"	"誰"	"iemand"	"noen"	"ktoś"	"alguém"	"cineva"	"кто-то"	"nekdo"	"neko"	"någon"	"birinin"	"người"	"有人"
2110	13	"SP"	"agreement"		"better let it go ! you 've got help him ... there 's someone in the water , help him ! let it go ! you have to let it go !"	"body"	"أحد"	"някой"	"nekoga"		"nogen"	"jemand"	"κάποιον"	"someone"	"alguien"	"keegi"	"jonkun"	"quelqu'un"	"מישהו"	"nekoga"	"valaki"	"seseorang"	"calarsi"	"誰"	"iemand"	"noen"	"ktoś"	"alguém"	"cineva"	"кто-то"		"некога"	"nån"	"biri"	"người"	"有人"
2542	12	"IN"	"agreement"		"- we have visitors . - i do n't want to see anyone . really ? if i was cooped up all day with no one but this old bat for company , i 'd go mad ."	"body"	"أحداً"	"никого"			"nogen"	"niemanden"	"κανέναν"	"anyone"	"nadie"	"kedagi"	"ketään"	"personne"	"אף אחד-"	"nikoga"	"senkit"	"siapa pun"	"nessuno"		"niemand"	"noen"	"nikogo"	"ninguém"	"nimeni"	"никого"		"никога"	"nån"	"kimseyi"	"ai"	
2579	0	"FC"	"agreement"		"anyone or anything that tries to hurt them gets burned away to nothing like so many candles . ow ."	"body"	"أي"	"всеки"	"koga"		"enhver"	"jeder"	"οποιονδήποτε"	"anyone"	"cualquiera"	"kes"	"kuka"	"toute"	"כל"	"svatko tko"	"bárki"	"siapa pun"	"chiunque"	"誰"		"alle"			"oricine"	"кто"	"kdo"	"било ко"	"om"	"herkes"		"任 何 人"
2737	15	"DN"	"agreement"		"there are n't very many people who know that story . i wo n't tell anyone . i promise . no , please do n't . if the hound so much as heard you mention it , i 'm afraid all the knights in king 's landing would not be able to save you ."	"body"	"شخص"	"никого"	"nikom"		"nogen"	"keinem"	"κανέναν"	"anyone"	"nadie"	"kellelegi"	"kenellekään"		"לאיש"	"nikome"	"senkinek"	"siapa pun"	"nessuno"			"noen"	"nikomu"	"ninguém"	"nimănui"		"raje"	"никоме"	"nån"	"kimseye"	"ai"	"任 何 人"
3226	0	"QU"	"agreement"	"Q2"	"anyone wan na join me , hey ? you staying ?"	"body"	"أحد"	"някой"	"neko"		"nogen"	"jemand"	"κανείς"	"anyone"	"¿alguien"	"keegi"	"tuleeko joku"	"qui"		"svatko"	"más"	"ada"	"qualcuno"	"誰"	"iemand"	"alle"	"ktoś"	"alguem"	"cineva"	"кто"	"kdo"	"neko"	"nån"	"kimse"	"ai"	"人"
3457	5				"you have to find me someone . someone who knows it . someone who can hunt her ."	"body"		"някой"	"nekoga"		"en"	"jemanden"	"κάποιον"	"someone"	"alguien"	"keegi"	"joku"	"quelqu'un"	".מישהו"	"nekoga"	"valakit"	"seseorang"	"qualcuno"	"熟知"	"iemand"	"noen"	"kogoś"	"alguém"	"cineva"	"того"	"nekoga"	"nekoga"	"någon"	"birisini"	"ai"	"捉她"
