"utterance"	"word"	"annotation"	"source"	"secondary"	"sentence"	"type"	"ar"	"bg"	"bs"	"cs"	"da"	"de"	"el"	"en"	"es"	"et"	"fi"	"fr"	"he"	"hr"	"hu"	"id"	"it"	"ja"	"nl"	"no"	"pl"	"pt"	"ro"	"ru"	"sl"	"sr"	"sv"	"tr"	"vi"	"zh"
5900	2	"DN"	"autoDN"	"PRED"	"it 's nothing . hey , thank you ."	"thing"	"تُذكر"	"нищо"	"ništa"		"ingenting"	"nichts"	"σοβαρό"	"nothing"	"nada"	"midagi"	"ole mitään"	"rien"	"שום דבר"	"ništa"	"karcolás"	"apa"	"niente"		"niks"	"ingenting"	"nic"	"nada"	"nimic"	"пустяки"	"nič"	"ништа"	"inget"	"şeyim yok"	"không"	"我没事"
6014	19	"DN"	"agreement"		"not funny , nancy . what ? stop grabbing my foot . shut up , i did n't do anything . yeah , right ."	"thing"	"شيء"	"направила"	"napravila"	"nedělala"	"noget"	"nichts"	"τίποτα"	"anything"	"nada"	"midagi"	"mitään"	"rien"	"כלום-"	"ništa"	"semmit"	"apa-apa"	"niente"	"何"	"helemaal"	"noe"	"nic"	"nada"	"nimic"	"делала"	"nič"	"ništa"	"ingenting"	"şey"	"gì"	
11572	13	"DN"	"autoDN"		"your blood ca n't make me die more . but it could do something worse ."	"thing"		"нещо"	"nešto"		"der"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotakin"	"faire"	".משהו"	"nešto"	"valami"	"berakibat"	"qualcosa"	"か"	"iets"	"noe"	"coś"	"algo"	"ceva"	"намного"	"kaj"	"nešto"		"bir şey"	"chuyện"	
6080	10	"QU"	"agreement"		"look what she made me do . you picking up anything in here , hon ?"	"thing"	"شيئاً"	"нещо"	"nešto"	"něco"	"noget"	"irgendwas"	"κάτι"	"anything"	"algo"	"midagi"	"mitään"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"何"	"iets"	"noe"	"coś"	"coisa"	"ceva"	"что-то"	"kaj"	"nešto"	"nåt"	"şey"	"gì"	"或"
16706	2	"SP"	"agreement"		"they cleared something away from here . not minutes ago . like what ? i 'm not sure . something mechanical . holmes , look at this ."	"thing"	"شئ"		"nešto"		"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"un"	".משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"algo"	"ceva"	"что-то"	"nekaj"	"nešto"	"något"	"bir şeyler"	"gì đó"	
6090	2	"SP"	"agreement"		"lorraine saw something , which ... go ahead , hon ."	"thing"	"شيئاً"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"事"	"iets"	"noe"	"coś"	"algo"	"ceva"	"нечто такое"	"nekaj"	"nešto"	"nåt"	"şey"	"một thứ gì"	"狥"
6137	9	"NS"	"disagreement"		"- all right , close the door . move something . - my hands are so cold ."	"thing"	"شيئاً"	"нещо"	"nešto"		"andet"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotakin"		"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-нибудь"	"kaj"	"nešto"	"nåt"			"狥 ﹁"
6139	23	"NS"	"agreement"		"well , like i said , it does n't always work when you want it to . yeah , maybe the camera picked something up ."	"thing"	"شيء"	"нещо"	"nešto"	"něco"	"noget"	"was"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"か"	"wat"	"noe"		"algo"	"ceva"	"что-то"	"kaj"	"nešto"	"nåt"	"bir şey"	"một vài thứ"	
6235	3	"NS"	"disagreement"		"you will do something very important one day . something you were born for ."	"thing"	"بشئ"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"choses"	"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"か"	"iets"	"noe"	"czegoś"	"coisa"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"şey"	"nên điều"	"成就"
6163	7	"SP"	"agreement"		"ed ? ed , we 're getting something ."	"thing"	"شيئاً"	"нещо"	"nešto"	"něco"	"noget"	"was"	"κάτι"	"something"	"algo"	"midagi"	"jotakin"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"		"iets"	"noe"	"coś"	"algo"		"что-то"	"nekaj"	"nešto"	"nåt"	"şeyler"	"thứ"	
6181	5	"SP"	"agreement"		"- ed , there 's something wrong . - what ?"	"thing"	"شيئاً"	"нещо"	"nešto"	"něco"	"noget"	"irgendwas"	"κάτι"	"something"	"algo"	"midagi"	"jokin"	"quelque chose"	"משהו"	"nešto"	"valami"	"ada"	"qualcosa"	"か"	"iets"	"noe"	"coś"	"algo"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"terslik"	"gì đó"	"ぐ"
6235	3	"NS"	"disagreement"		"you will do something very important one day . something you were born for ."	"thing"		"нещо"	"nešto"	"něco"	"noget"		"κάτι"	"something"	"algo"	"midagi"	"jotain"	"choses"	"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"か 何 か"	"iets"	"noe"	"czegoś"	"coisa"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"şey"		"大事"
6330	5	"FC"	"agreement"		"you said you 'd do anything , right ? max ."	"thing"	"شئ،"	"всичко"	"bilo"	"cokoliv"	"helst"	"alles"	"πάντα"	"anything"	"cualquier cosa"	"kõike"	"vain"	"tout"	"כל דבר"	"sve učinio"	"bármit"		"tutto"		"alles"	"helst"	"wszystko"	"qualquer coisa"	"orice"	"все"	"vse"	"sve učinio"	"helst"	"her şeyi yaparım"	"bất cứ điều gì"	"什麼 都 願意"
6349	4	"SP"	"agreement"		"i 'm interested in something much larger . this habitat is dying . there is a political sickness inside of it . a tumor that needs to be removed ."	"thing"		"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"		"asia"	"quelque chose"	"במשהו"	"nešto"		"sesuatu"	"qualcosa"	"物"	"iets"	"noe"	"czegoś"	"algo"	"ceva"	"нечто"	"nekaj"	"nešto"	"nåt"	"şeyle"	"một thứ gì đó"	
2132	9	"SP"	"agreement"		"here you have the chance to be part of something much bigger than yourself ."	"thing"	"شئ"	"нещо"	"nečega"		"noget"		"κάτι"	"something"	"algo"	"millestki"	"jotakin"	"quelque chose"	"משהו"	"nečega"	"valami"	"hal"	"qualcosa"	"事"		"noe"	"czegoś"	"algo"	"ceva"	"того"	"nečesa"	"нечега"	"nåt"	"şeyin"	"một thứ"	"成就"
6786	26	"SP"	"agreement"		"how can we live like this ? how can anybody live like this ? it 's not living , but ... since the last games , something is different . i can see it ."	"thing"	"شئ"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jokin"	"quelque chose"	"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"algo"	"ceva"	"что-то"	"nekaj"	"нешто"	"något"	"bir şeyler"	"thứ"	"事情"
